EventId, Occurrences, EventTemplate
E0, 1, oe-user@oe-host GCC GNU ld GNU Binutils SMP PREEMPT Sun May UTC
E1, 1, failed to open radeonsi: /usr/lib/dri/radeonsi_dri.so: cannot open shared object file: No such file or paths suffix
E2, 4, Standard output type syslog is obsolete automatically updating to journal. Please update your unit file and consider removing the setting altogether.
E3, 1, Command line: BOOT_IMAGE=/boot/vmlinuz root=/dev/sda2 d ro
E4, 1, xor: automatically using best checksumming function avx
E5, 2, Supporting XSAVE feature
E6, 2, USB Serial support
E7, 1, File Check
E8, 3, Node Exporter
E9, 1, Start thread
E10, 3, Process Core Dump
E11, 1, Device API endpoint
E12, 1, bsw: Client failure:
E13, 1, Stop thread
E14, 1, thread
E15, 3, update mem usable == reserved
E16, 1, Allowing CPUs hotplug
E17, 1, allocated pages
E18, 77, 
E19, 1, USB Host Interface
E20, 1, Registered as store
E21, 1, unused image memory:
E22, 1, Refined clocksource
E23, 2, amdgpu: of memory
E24, 1, client to runtime
E25, 1, AST source at
E26, 1, on mDNS/DNS-SD Activation
E27, 1, R&S Unit
E28, 1, acquired service
E29, 1, configuration /etc/nginx/nginx.conf is
E30, 1, level=info containerd
E31, 1, level=info recovering
E32, 1, level=info snapshots
E33, 1, level=info streaming
E34, 1, line Log: not
E35, 1, No mrt.scriptpackages-helpk70
E36, 1, INFO - Method
E37, 1, | Version:
E38, 1, | environment:
E39, 1, Initializing and
E40, 1, Shutting time on
E41, 1, level=info signal
E42, 1, level=info monitor
E43, 1, level=info server
E44, 1, SIGTERM
E45, 1, ftrace: entries
E46, 2, from
E47, 1, Console: colour
E48, 1, Connection
E49, 1, info auto-activating
E50, 4, RsInstallationService.MAIN -
E51, 1, cmseq imports
E52, 2, RepositoryStatusMonitor -
E53, 2, TSS: set
E54, 2, level=info
E55, 1, NR_IRQS: nr_irqs: preallocated irqs:
E56, 1, ACPI: Firmware Bug : _OSI Linux query
E57, 1, software IO TLB: mem
E58, 1, CONFIG_CHANGE op=set
E59, 1, OS : unixHome Directory :
E60, 1, Received TERM or signal... shutting
E61, 1, Offload RCU CPUs: none .
E62, 1, Switch to mode setup
E63, 1, Connection hash memory=32Kbytes
E64, 1, protecting the data:
E65, 1, microsemi revision
E66, 1, loading compiling rules
E67, 1, dhcp-init: client internal
E68, 1, Executable /usr/local/LoggingService/bin/stopcurrentlogger.sh Permission denied
E69, 1, INFO RohdeSchwarz.InstallationServiceApp.Program directory: /opt/rohde-schwarz/installation-service
E70, 1, address record on docker0.
E71, 1, | PYTHONPATH=/opt/rohde-schwarz/cmsequencer/exec_envs/venvs/default/Scripts: /opt/rohde-schwarz/cmsequencer/cmxblocks:
E72, 2, LVT offset assigned vector
E73, 1, ATTENTION: cmx_mb_bh7 DISABLED kd logging
E74, 2, we get Major Minor
E75, 1, ATTENTION: cmx_au DISABLED kd logging
E76, 2, The XKEYBOARD compiler reports:
E77, 1, smp: up CPUs
E78, 1, RPC: tcp module.
E79, 1, igbvf: Gigabit Driver
E80, 2, Watching buttons Button
E81, 2, libGL failed radeonsi
E82, 2, Application Press down.
E83, 1, cmseq CMsequencer
E84, 1, avahi publish
E85, 1, avahi browse
E86, 2, RatRqm1 RPC
E87, 2, FileTime Wed
E88, 1, audit: state=initialized
E89, 1, host bridge
E90, 1, microsemi
E91, 1, Docker
E92, 1, create
E93, 1, interface HTTP/REST
E94, 1, INFO RohdeSchwarz.InstallationServiceContracts.EnvironmentHelper
E95, 4, INFO RohdeSchwarz.AptAbstractionLib.LocalDevice
E96, 1, launched_by_systemd
E97, 1, log_dir
E98, 1, server_mode
E99, 1, connection
E100, 1, Configuration
E101, 1, | Completed
E102, 1, Detect
E103, 1, SCPI-Error:
E104, 1, dhcp4
E105, 30, pci enabling Extended Tags
E106, 13, pci_bus
E107, 1, RPC: socket
E108, 3, TSS: in
E109, 1, Closed Daemon
E110, 1, input: Power Button /devices/LNXSYSTM:
E111, 1, Copyright c
E112, 1, Copyright c
E113, 1, Starting Cleaning Up Shutting
E114, 1, Finished Cleaning Up Shutting
E115, 1, Created slice Virtual
E116, 2, waiting for X
E117, 2, Socket: connect operation with
E118, 2, CMXmars has requested
E119, 1, Removed slice Virtual
E120, 4, Host Controller
E121, 5, slot:
E122, 5, Drivers
E123, 6, Static Nodes
E124, 3, 
E125, 2, BTRFS info device sda2 :
E126, 1, Condition check resulted /sysroot being skipped.
E127, 1, drm: dc_link_detect_helper amdgpu No EDID read.
E128, 1, Interface docker0.IPv4 no relevant for mDNS.
E129, 1, F R&S SWPL ID DEFAULT
E130, 11, D-Bus Message Bus
E131, 1, services Waiting for
E132, 1, services Primary broker
E133, 3, Remount Kernel
E134, 2, Device for
E135, 3, LD with
E136, 1, | processes
E137, 3, | subscribed
E138, 1, Reached target Preparation for Local File Systems.
E139, 9, drm add ip block number
E140, 9, rsmic MIC device connected
E141, 3, pci_set_drvdata private_data: pci_data: dma_data
E142, 3, at String MecongImpl
E143, 7, Xserver startup with a display
E144, 12, caller=node_exporter.go: level=info
E145, 4, Simple Management Protocol SNMP
E146, 2, Virtual and Container Registration
E147, 7, info device carrier: link connected
E148, 2, Warning: Could not resolve keysym XF86EmojiPicker
E149, 18, slice User Slice of UID
E150, 2, Virtual Machine and Container Registration Service.
E151, 2, pam_unix su: session : session closed for user xuser
E152, 28, OK
E153, 5, handler been registered.
E154, 5, signal shut down...
E155, 6, ERROR: Cannot create file Permission denied
E156, 630, error: kex_exchange_identification: Connection closed by remote host
E157, 2, Get video meta info for
E158, 133, NETFILTER_CFG comm= iptables
E159, 58, config_generic_gigabit_channel_link : clear on with value
E160, 9, RsInstallationService.MAIN INFO -
E161, 5, info
E162, 1, Creating network cmxreporting_default with the default driver
E163, 60, SCardConnect Error Reader Exclusive
E164, 4, OperationMode: Primary Master address: slaves:
E165, 12, CLOSE driver by
E166, 8, status interrupt detected base
E167, 6, TSS: Created AU wrapper on slot
E168, 102, in hardware_element_from_pdef count = OK
E169, 2276, supported_tests_from_offers has test Result Name
E170, 15, Dispatching RPC RatRqm1: : : message_received
E171, 2, /usr/local/sbin: /usr/local/bin: /usr/sbin: /usr/bin: /sbin: /bin
E172, 27, pam_unix sshd: session : session closed for user root
E173, 3, elfutils disabled parsing ELF objects not supported
E174, 122, PIAS: PIAS: Remote access from client
E175, 38, PIAS: DIAG: PROD: SEL
E176, 32, PIAS: Rohde&Schwarz
E177, 33, PIAS: DIAG: UPD: TRAN: VERS?\\n
E178, 2, Attempting to stop CMXmars Server version
E179, 1, PIAS: Error: invalid command $QSUPPORTED:
E180, 7, Invalid user from port
E181, 15, done
E182, 1, shutdown done
E183, 1, floating point registers
E184, 1, nr_cpu_ids: nr_node_ids:
E185, 1, Speculation Barrier for firmware calls
E186, 1, PCI0 domain bus
E187, 1, pipe q
E188, 1, encode initialized successfully under SPG Mode .
E189, 1, such file or directory:
E190, 1, paths to environment variable PYTHONPATH...
E191, 1, Beta Develop Integration Internal Official
E192, 1, Completed EnableRepository State Success
E193, 1, Service org_name=com.rohde_schwarz.mrt.Callysto object_path=/com/rohde_schwarz/mrt/Callysto
E194, 1, please fix the application
E195, 1, Use Ctrl+C to shut down.
E196, 1, efi: ACPI SMBIOS
E197, 2, apic_id version address GSI
E198, 5, clocksource: mask: max_cycles: max_idle_ns: ns
E199, 1, Built zonelists mobility grouping on. Total pages:
E200, 1, Welcome Poky Yocto Project Reference Distro
E201, 1, AML tables acquired
E202, 1, GPEs in
E203, 1, vgaarb: as
E204, 1, 0xffffff max_cycles: max_idle_ns:
E205, 1, Attached
E206, 1, amdgpu: VBIOS
E207, 1, values
E208, 1, Finished Flush
E209, 1, auto-activating connection connection
