EventId,EventTemplate,Occurrences
E0,"('<*>', '<*>', '<*>', '(oe-user@oe-host)', '<*>', '(GCC)', '<*>', 'GNU', 'ld', '(GNU', 'Binutils)', '<*>', '<*>', 'SMP', 'PREEMPT', 'Sun', 'May', '<*>', '<*>', '<*>', '<*>', 'UTC', '<*>')",1
E1,"('<*>', '<*>', '<*>', 'failed', 'to', 'open', 'radeonsi:', '/usr/lib/dri/radeonsi_dri.so:', 'cannot', 'open', 'shared', 'object', 'file:', 'No', 'such', 'file', 'or', '<*>', '<*>', 'paths', '<*>', 'suffix', '<*>')",1
E2,"('<*>', '<*>', 'Standard', 'output', 'type', 'syslog', 'is', 'obsolete,', 'automatically', 'updating', 'to', 'journal.', 'Please', 'update', 'your', 'unit', 'file,', 'and', 'consider', 'removing', 'the', 'setting', 'altogether.')",4
E3,"('Command', 'line:', 'BOOT_IMAGE=/boot/vmlinuz', 'root=/dev/sda2', '<*>', 'd', 'ro')",1
E4,"('xor:', 'automatically', 'using', 'best', 'checksumming', 'function', 'avx')",1
E5,"('<*>', 'Supporting', 'XSAVE', 'feature', '<*>', '<*>', '<*>')",2
E6,"('<*>', 'USB', 'Serial', 'support', '<*>', '<*>', '<*>')",2
E7,"('<*>', 'File', '<*>', 'Check', '<*>', '<*>', '<*>')",1
E8,"('<*>', 'Node', 'Exporter', '<*>', '<*>', '<*>', '<*>')",3
E9,"('<*>', ']', 'Start', 'thread', '<*>', '<*>', '<*>')",1
E10,"('<*>', 'Process', 'Core', 'Dump', '<*>', '<*>', '<*>')",3
E11,"('<*>', 'Device', 'API', 'endpoint', '<*>', '<*>', '<*>')",1
E12,"('<*>', 'bsw:', 'Client', 'failure:', '<*>', '<*>', '<*>')",1
E13,"('<*>', ']', 'Stop', 'thread', '<*>', '<*>', '<*>')",1
E14,"('<*>', ']', '<*>', 'thread', '<*>', '<*>', '<*>')",1
E15,"('<*>', 'update', '[mem', '<*>', 'usable', '==>', 'reserved')",3
E16,"('<*>', 'Allowing', '<*>', 'CPUs,', '<*>', 'hotplug', '<*>')",1
E17,"('<*>', 'allocated', '<*>', 'pages', '<*>', '<*>', '<*>')",1
E18,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",77
E19,"('<*>', 'USB', '<*>', 'Host', '<*>', 'Interface', '<*>')",1
E20,"('<*>', 'Registered', '<*>', 'as', '<*>', 'store', '<*>')",1
E21,"('<*>', 'unused', '<*>', 'image', '<*>', 'memory:', '<*>')",1
E22,"('<*>', 'Refined', '<*>', 'clocksource', '<*>', '<*>', '<*>')",1
E23,"('<*>', 'amdgpu:', '<*>', 'of', '<*>', 'memory', '<*>')",2
E24,"('<*>', 'client', '<*>', 'to', '<*>', 'runtime', '<*>')",1
E25,"('<*>', 'AST', '<*>', 'source', '<*>', 'at', '<*>')",1
E26,"('<*>', 'on', '<*>', 'mDNS/DNS-SD', '<*>', 'Activation', '<*>')",1
E27,"('<*>', '<*>', '<*>', 'R&S', '<*>', 'Unit', '<*>')",1
E28,"('<*>', '<*>', '<*>', 'acquired', '<*>', 'service', '<*>')",1
E29,"('<*>', 'configuration', '<*>', '/etc/nginx/nginx.conf', '<*>', 'is', '<*>')",1
E30,"('<*>', '<*>', '<*>', 'level=info', '<*>', 'containerd', '<*>')",1
E31,"('<*>', '<*>', '<*>', 'level=info', '<*>', 'recovering', '<*>')",1
E32,"('<*>', '<*>', '<*>', 'level=info', '<*>', 'snapshots', '<*>')",1
E33,"('<*>', '<*>', '<*>', 'level=info', '<*>', 'streaming', '<*>')",1
E34,"('<*>', 'line', '<*>', 'Log:', '<*>', 'not', '<*>')",1
E35,"('<*>', 'No', '<*>', '<*>', '<*>', 'mrt.scriptpackages-helpk70', '<*>')",1
E36,"('<*>', 'INFO', '<*>', '-', '<*>', 'Method', '<*>')",1
E37,"('<*>', '|', '<*>', '<*>', '<*>', 'Version:', '<*>')",1
E38,"('<*>', '|', '<*>', '<*>', '<*>', 'environment:', '<*>')",1
E39,"('<*>', 'Initializing', '<*>', '<*>', '<*>', 'and', '<*>')",1
E40,"('<*>', 'Shutting', '<*>', 'time', '<*>', 'on', '<*>')",1
E41,"('<*>', '<*>', '<*>', 'level=info', '<*>', 'signal', '<*>')",1
E42,"('<*>', '<*>', '<*>', 'level=info', '<*>', 'monitor', '<*>')",1
E43,"('<*>', '<*>', '<*>', 'level=info', '<*>', 'server', '<*>')",1
E44,"('<*>', '<*>', '<*>', 'SIGTERM,', '<*>', '<*>', '<*>')",1
E45,"('ftrace:', '<*>', '<*>', 'entries', '<*>', '<*>', '<*>')",1
E46,"('<*>', '<*>', '<*>', 'from', '<*>', '<*>', '<*>')",2
E47,"('Console:', '<*>', '<*>', 'colour', '<*>', '<*>', '<*>')",1
E48,"('<*>', '<*>', '<*>', 'Connection', '<*>', '<*>', '<*>')",1
E49,"('<info>', '<*>', '<*>', 'auto-activating', '<*>', '<*>', '<*>')",1
E50,"('[RsInstallationService.MAIN]', '<*>', '<*>', '-', '<*>', '<*>', '<*>')",4
E51,"('cmseq', '<*>', '<*>', 'imports', '<*>', '<*>', '<*>')",1
E52,"('[RepositoryStatusMonitor]', '<*>', '<*>', '-', '<*>', '<*>', '<*>')",2
E53,"('TSS:', '<*>', '<*>', 'set', '<*>', '<*>', '<*>')",2
E54,"('<*>', '<*>', '<*>', 'level=info', '<*>', '<*>', '<*>')",2
E55,"('NR_IRQS:', '<*>', 'nr_irqs:', '<*>', 'preallocated', 'irqs:', '<*>')",1
E56,"('ACPI:', '[Firmware', 'Bug]:', '<*>', '_OSI(Linux)', 'query', '<*>')",1
E57,"('software', 'IO', 'TLB:', '<*>', '[mem', '<*>', '<*>')",1
E58,"('CONFIG_CHANGE', 'op=set', '<*>', '<*>', '<*>', '<*>', '<*>')",1
E59,"('OS', ':', 'unixHome', '<*>', 'Directory', ':', '<*>')",1
E60,"('Received', 'TERM', 'or', '<*>', 'signal...', 'shutting', '<*>')",1
E61,"('<*>', 'Offload', 'RCU', '<*>', '<*>', 'CPUs:', '(none).')",1
E62,"('<*>', 'Switch', 'to', '<*>', '<*>', 'mode', 'setup')",1
E63,"('<*>', 'Connection', 'hash', '<*>', '<*>', '<*>', 'memory=32Kbytes)')",1
E64,"('<*>', 'protecting', 'the', '<*>', '<*>', 'data:', '<*>')",1
E65,"('<*>', 'microsemi', '<*>', '<*>', '<*>', 'revision', '<*>')",1
E66,"('<*>', 'loading,', 'compiling', '<*>', '<*>', '<*>', 'rules')",1
E67,"('<*>', '<*>', 'dhcp-init:', '<*>', '<*>', 'client', ""'internal'"")",1
E68,"('<*>', 'Executable', '/usr/local/LoggingService/bin/stopcurrentlogger.sh', '<*>', '<*>', 'Permission', 'denied')",1
E69,"('<*>', 'INFO', 'RohdeSchwarz.InstallationServiceApp.Program', '<*>', '<*>', 'directory:', ""'/opt/rohde-schwarz/installation-service'"")",1
E70,"('<*>', 'address', 'record', '<*>', '<*>', 'on', 'docker0.')",1
E71,"('<*>', '|', 'PYTHONPATH=/opt/rohde-schwarz/cmsequencer/exec_envs/venvs/default/Scripts:', '<*>', '<*>', '/opt/rohde-schwarz/cmsequencer/cmxblocks:', '')",1
E72,"('LVT', 'offset', '<*>', 'assigned', '<*>', 'vector', '<*>')",2
E73,"('ATTENTION:', 'cmx_mb_bh7', '<*>', 'DISABLED', '<*>', 'kd', 'logging')",1
E74,"('we', 'get', '<*>', 'Major', '<*>', 'Minor', '<*>')",2
E75,"('ATTENTION:', 'cmx_au', '<*>', 'DISABLED', '<*>', 'kd', 'logging')",1
E76,"('The', 'XKEYBOARD', '<*>', 'compiler', '<*>', 'reports:', '')",2
E77,"('smp:', '<*>', 'up', '<*>', '<*>', '<*>', 'CPUs')",1
E78,"('RPC:', '<*>', 'tcp', '<*>', '<*>', '<*>', 'module.')",1
E79,"('igbvf:', '<*>', 'Gigabit', '<*>', '<*>', '<*>', 'Driver')",1
E80,"('Watching', '<*>', 'buttons', '<*>', '<*>', '<*>', 'Button)')",2
E81,"('libGL', '<*>', 'failed', '<*>', '<*>', '<*>', 'radeonsi')",2
E82,"('Application', '<*>', 'Press', '<*>', '<*>', '<*>', 'down.')",2
E83,"('cmseq', '<*>', 'CMsequencer', '<*>', '<*>', '<*>', '[]')",1
E84,"('avahi', '<*>', 'publish', '<*>', '<*>', '<*>', '<*>')",1
E85,"('avahi', '<*>', 'browse', '<*>', '<*>', '<*>', '<*>')",1
E86,"('RatRqm1', '<*>', 'RPC', '<*>', '<*>', '<*>', '<*>')",2
E87,"('<FileTime>Wed', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",2
E88,"('audit:', '<*>', '<*>', '<*>', 'state=initialized', '<*>', '<*>')",1
E89,"('<*>', 'host', 'bridge', '<*>', '<*>', '<*>', '<*>')",1
E90,"('<*>', 'microsemi', '<*>', '<*>', '<*>', '<*>', '<*>')",1
E91,"('<*>', '<*>', 'Docker', '<*>', '<*>', '<*>', '<*>')",1
E92,"('<*>', '<*>', 'create', '<*>', '<*>', '<*>', '<*>')",1
E93,"('<*>', 'interface', '(HTTP/REST)', '<*>', '<*>', '<*>', '<*>')",1
E94,"('<*>', 'INFO', 'RohdeSchwarz.InstallationServiceContracts.EnvironmentHelper', '<*>', '<*>', '<*>', '<*>')",1
E95,"('<*>', 'INFO', 'RohdeSchwarz.AptAbstractionLib.LocalDevice', '<*>', '<*>', '<*>', '<*>')",4
E96,"('<*>', ']', 'launched_by_systemd', '<*>', '<*>', '<*>', '<*>')",1
E97,"('<*>', ']', 'log_dir', '<*>', '<*>', '<*>', '<*>')",1
E98,"('<*>', ']', 'server_mode', '<*>', '<*>', '<*>', '<*>')",1
E99,"('<*>', ']', 'connection', '<*>', '<*>', '<*>', '<*>')",1
E100,"('<*>', ']', 'Configuration', '<*>', '<*>', '<*>', '<*>')",1
E101,"('<*>', '|', 'Completed', '<*>', '<*>', '<*>', '<*>')",1
