EventId, Occurrences, EventTemplate
E0, 1, oe-user@oe-host GCC GNU ld GNU Binutils SMP PREEMPT Sun May UTC
E1, 1, failed to open radeonsi: /usr/lib/dri/radeonsi_dri.so: cannot open shared object file: No such file or paths suffix
E2, 4, Standard output type syslog is obsolete automatically updating to journal. Please update your unit file and consider removing the setting altogether.
E3, 1, WARNING: in CRSZmqBroker.cpp at registerService : unknown thread name Service registration not synchronized no primary broker available or timeout or duplicated :
E4, 5, .NET ThreadPool Worker INFO RohdeSchwarz.AptAbstractionLib.CommandBase - SetAndTrackFinishDetails: Sending Command id Status Success Runtime to finish observers
E5, 1, Command line: BOOT_IMAGE=/boot/vmlinuz root=/dev/sda2 d ro
E6, 1, xor: automatically using best checksumming function avx
E7, 1, R&S SWPL START DATA CHANNEL
E8, 2, Supporting XSAVE feature
E9, 2, USB Serial support
E10, 3, update mem usable == reserved
E11, 1, Allowing CPUs hotplug
E12, 1, allocated pages
E13, 59, 
E14, 1, USB Host Interface
E15, 1, Registered as store
E16, 1, unused image memory:
E17, 1, Refined clocksource
E18, 2, amdgpu: of memory
E19, 1, client to runtime
E20, 1, AST source at
E21, 1, R&S Unit
E22, 1, to /swapspace/swapfile size
E23, 1, acquired service
E24, 1, configuration /etc/nginx/nginx.conf is
E25, 1, level=info recovering
E26, 1, level=info event
E27, 1, level=info snapshots
E28, 1, level=info streaming
E29, 1, No found mrt.scriptpackages-helpk70
E30, 1, INFO - Method
E31, 1, | Version:
E32, 1, thread
E33, 1, | environment:
E34, 1, Initializing and
E35, 1, ftrace: entries
E36, 2, from
E37, 1, Console: colour
E38, 1, Connection
E39, 1, info auto-activating
E40, 4, RsInstallationService.MAIN -
E41, 1, Creating with
E42, 1, cmseq imports
E43, 2, TSS: set
E44, 1, NR_IRQS: nr_irqs: preallocated irqs:
E45, 1, ACPI: Firmware Bug : _OSI Linux query
E46, 1, software IO TLB: mem
E47, 1, CONFIG_CHANGE op=set
E48, 1, mrt.base.service: Executable /usr/local/LoggingService/bin/stopcurrentlogger.sh skipping: Permission
E49, 1, OS : unixHome Directory :
E50, 1, Offload RCU CPUs: none .
E51, 1, Switch mode setup
E52, 1, Connection hash memory=32Kbytes
E53, 1, protecting the data:
E54, 1, slice Virtual Container Slice.
E55, 1, microsemi revision
E56, 1, on Avahi Activation Socket.
E57, 1, Node Exporter System Monitoring.
E58, 1, loading compiling rules
E59, 1, line not found
E60, 1, dhcp-init: client internal
E61, 1, containerd service
E62, 1, X shut down
E63, 1, INFO RohdeSchwarz.InstallationServiceApp.Program directory: /opt/rohde-schwarz/installation-service
E64, 1, address record on docker0.
E65, 1, | PYTHONPATH=/opt/rohde-schwarz/cmsequencer/exec_envs/venvs/default/Scripts: /opt/rohde-schwarz/cmsequencer/cmxblocks:
E66, 1, R&S SWPL PORT
E67, 1, closed or unexpected data .
E68, 2, LVT offset assigned vector
E69, 1, ATTENTION: cmx_mb_bh7 DISABLED kd logging
E70, 2, we get Major Minor
E71, 1, ATTENTION: cmx_au DISABLED kd logging
E72, 2, The XKEYBOARD compiler reports:
E73, 1, Started Virtual and Registration Service.
E74, 1, smp: up CPUs
E75, 1, RPC: tcp module.
E76, 1, igbvf: Gigabit Driver
E77, 2, Watching buttons Button
E78, 2, libGL failed radeonsi
E79, 1, cmseq CMXblocks
E80, 1, avahi publish
E81, 1, avahi browse
E82, 1, t No directory
E83, 2, Started Core
E84, 1, object No directory
E85, 1, audit: state=initialized
E86, 1, host bridge
E87, 1, microsemi
E88, 1, Docker
E89, 1, Device API
E90, 1, interface HTTP/REST
E91, 1, INFO RohdeSchwarz.InstallationServiceContracts.EnvironmentHelper
E92, 4, INFO RohdeSchwarz.AptAbstractionLib.LocalDevice
E93, 1, log_dir
E94, 1, server_mode
E95, 1, connection
E96, 1, Configuration
E97, 1, Detect
E98, 1, | Completed
E99, 30, pci enabling Extended Tags
E100, 13, pci_bus
E101, 1, RPC: socket
E102, 1, Reached Local
E103, 4, RepositoryStatusMonitor Checking
E104, 3, TSS: in
E105, 1, input: Power Button /devices/LNXSYSTM:
E106, 1, Copyright c
E107, 1, Copyright c
E108, 1, Starting Cleaning Up Shutting
E109, 1, Finished Cleaning Up Shutting
E110, 1, Starting Simple Network Protocol
E111, 1, Started Simple Network Protocol
E112, 1, Starting Virtual Machine Container
E113, 2, Application started. Press to
E114, 1, cmseq | CMsequencer processes
E115, 2, Socket: connect operation with
E116, 4, Host Controller
E117, 5, slot:
E118, 5, Drivers
E119, 6, Static Nodes
E120, 1, RohdeSchwarz.InstallationServiceContracts.EnvironmentHelper Running
E121, 2, 
E122, 2, BTRFS info device sda2 :
E123, 2, Starting Xserver startup with
E124, 2, Started Xserver startup with
E125, 1, Stopped Xserver startup with
E126, 5, Waiting for any signal
E127, 1, Condition check resulted /sysroot being skipped.
E128, 1, drm: dc_link_detect_helper amdgpu No EDID read.
E129, 1, Interface docker0.IPv4 no relevant for mDNS.
E130, 1, at System.Threading.ExecutionContext.RunInternal ExecutionContext executionContext callback Object state
E131, 9, D-Bus Message Bus
E132, 9, RPC at tcp:
E133, 1, Check
E134, 3, Remount and
E135, 1, Callysto
E136, 3, LD done
E137, 3, |
E138, 9, drm add ip block number
E139, 9, rsmic MIC device connected
E140, 3, pci_set_drvdata private_data: pci_data: dma_data
E141, 12, caller=node_exporter.go: level=info
E142, 34, Rotate logs...
E143, 34, Launching nmon...
E144, 7, carrier: link
E145, 7, Undefined header;$QSUPPORTED:
E146, 7, command $QSUPPORTED:
E147, 2, Warning: Could resolve keysym XF86EmojiPicker
E148, 2, elfutils disabled parsing objects supported
E149, 12, slice User Slice of UID
E150, 1, pam_unix su: session : session closed for user xuser
E151, 3, Created slice Slice
E152, 1, starter: Waiting for
E153, 1, starter: Primary broker
E154, 9, OK
E155, 1, OK Started User Login Management.
E156, 2, Get video meta info for
E157, 6, ERROR: Cannot create file Permission denied
E158, 22, The termination request handler has been registered.
E159, 104, NETFILTER_CFG comm= iptables
E160, 88, config_generic_gigabit_channel_link : clear on with value
E161, 8, RsInstallationService.MAIN INFO -
E162, 5, info
E163, 15, SCardConnect Error Reader Exclusive
E164, 4, OperationMode: Primary Master address: slaves:
E165, 8, CLOSE driver by
E166, 1741, error: kex_exchange_identification: Connection closed by remote host
E167, 8, status interrupt detected base
E168, 6, TSS: Created AU wrapper on slot
E169, 102, in hardware_element_from_pdef count = OK
E170, 2276, supported_tests_from_offers has test Result Name
E171, 86, Dispatching RPC RatRqm1: : : message_received
E172, 9, /usr/local/sbin: /usr/local/bin: /usr/sbin: /usr/bin: /sbin: /bin
E173, 826, Remote access from client
E174, 155, PIAS: DIAG: PROD: SEL
E175, 49, Invalid user from port
E176, 99, done
E177, 5, R&S SWPL QUERY ID DEFAULT
E178, 130, PIAS: Rohde&Schwarz
E179, 129, PIAS: DIAG: UPD: TRAN: VERS?\\n
E180, 21, Attempting to stop CMXmars Server version
E181, 21, CMXmars server has been requested to terminate.
E182, 37, pam_unix sshd: session : session closed for user root
E183, 1, floating point registers
E184, 1, nr_cpu_ids: nr_node_ids:
E185, 1, Speculation Barrier for firmware calls
E186, 1, PCI0 domain bus
E187, 1, pipe q
E188, 1, encode initialized successfully under SPG Mode .
E189, 1, such file or directory:
E190, 1, paths to environment variable PYTHONPATH...
E191, 1, Service org_name=com.rohde_schwarz.mrt.Callysto object_path=/com/rohde_schwarz/mrt/Callysto
E192, 1, Completed EnableRepository State Success
E193, 1, please fix the application
E194, 1, Use Ctrl+C to shut down.
E195, 1, efi: ACPI SMBIOS
E196, 2, apic_id address GSI
E197, 2, RepositoryStatusMonitor INFO Develop Internal Official
