EventId,EventTemplate,Occurrences
E0,"('<*>', '<*>', '<*>', '(oe-user@oe-host)', '<*>', '(GCC)', '<*>', 'GNU', 'ld', '(GNU', 'Binutils)', '<*>', '<*>', 'SMP', 'PREEMPT', 'Sun', 'May', '<*>', '<*>', '<*>', '<*>', 'UTC', '<*>')",1
E1,"('<*>', '<*>', '<*>', 'failed', 'to', 'open', 'radeonsi:', '/usr/lib/dri/radeonsi_dri.so:', 'cannot', 'open', 'shared', 'object', 'file:', 'No', 'such', 'file', 'or', '<*>', '<*>', 'paths', '<*>', 'suffix', '<*>')",1
E2,"('<*>', '<*>', 'Standard', 'output', 'type', 'syslog', 'is', 'obsolete,', 'automatically', 'updating', 'to', 'journal.', 'Please', 'update', 'your', 'unit', 'file,', 'and', 'consider', 'removing', 'the', 'setting', 'altogether.')",4
E3,"('<*>', 'WARNING:', 'in', 'CRSZmqBroker.cpp', 'at', 'registerService():', '<*>', '[unknown', 'thread', 'name]', 'Service', 'registration', 'not', 'synchronized', '(no', 'primary', 'broker', 'available', 'or', 'timeout', 'or', 'duplicated):', '<*>')",1
E4,"('[.NET', 'ThreadPool', 'Worker]', 'INFO', 'RohdeSchwarz.AptAbstractionLib.CommandBase', '-', '<*>', '<*>', 'SetAndTrackFinishDetails:', 'Sending', 'Command', '<*>', '(id', '<*>', 'Status', 'Success,', 'Runtime', '<*>', '<*>', '<*>', 'to', 'finish', 'observers')",5
E5,"('Command', 'line:', 'BOOT_IMAGE=/boot/vmlinuz', 'root=/dev/sda2', '<*>', 'd', 'ro')",1
E6,"('xor:', 'automatically', 'using', 'best', 'checksumming', 'function', 'avx')",1
E7,"('>>', '<*>', 'R&S', 'SWPL', 'START', 'DATA', 'CHANNEL]')",1
E8,"('<*>', 'Supporting', 'XSAVE', 'feature', '<*>', '<*>', '<*>')",2
E9,"('<*>', 'USB', 'Serial', 'support', '<*>', '<*>', '<*>')",2
E10,"('<*>', 'update', '[mem', '<*>', 'usable', '==>', 'reserved')",3
E11,"('<*>', 'Allowing', '<*>', 'CPUs,', '<*>', 'hotplug', '<*>')",1
E12,"('<*>', 'allocated', '<*>', 'pages', '<*>', '<*>', '<*>')",1
E13,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",59
E14,"('<*>', 'USB', '<*>', 'Host', '<*>', 'Interface', '<*>')",1
E15,"('<*>', 'Registered', '<*>', 'as', '<*>', 'store', '<*>')",1
E16,"('<*>', 'unused', '<*>', 'image', '<*>', 'memory:', '<*>')",1
E17,"('<*>', 'Refined', '<*>', 'clocksource', '<*>', '<*>', '<*>')",1
E18,"('<*>', 'amdgpu:', '<*>', 'of', '<*>', 'memory', '<*>')",2
E19,"('<*>', 'client', '<*>', 'to', '<*>', 'runtime', '<*>')",1
E20,"('<*>', 'AST', '<*>', 'source', '<*>', 'at', '<*>')",1
E21,"('<*>', '<*>', '<*>', 'R&S', '<*>', 'Unit', '<*>')",1
E22,"('<*>', 'to', '<*>', '/swapspace/swapfile', '<*>', 'size', '<*>')",1
E23,"('<*>', '<*>', '<*>', 'acquired', '<*>', 'service', '<*>')",1
E24,"('<*>', 'configuration', '<*>', '/etc/nginx/nginx.conf', '<*>', 'is', '<*>')",1
E25,"('<*>', '<*>', '<*>', 'level=info', '<*>', 'recovering', '<*>')",1
E26,"('<*>', '<*>', '<*>', 'level=info', '<*>', 'event', '<*>')",1
E27,"('<*>', '<*>', '<*>', 'level=info', '<*>', 'snapshots', '<*>')",1
E28,"('<*>', '<*>', '<*>', 'level=info', '<*>', 'streaming', '<*>')",1
E29,"('<*>', 'No', '<*>', 'found', '<*>', 'mrt.scriptpackages-helpk70', '<*>')",1
E30,"('<*>', 'INFO', '<*>', '-', '<*>', 'Method', '<*>')",1
E31,"('<*>', '|', '<*>', '<*>', '<*>', 'Version:', '<*>')",1
E32,"('<*>', ']', '<*>', 'thread', '<*>', '<*>', '<*>')",1
E33,"('<*>', '|', '<*>', '<*>', '<*>', 'environment:', '<*>')",1
E34,"('<*>', 'Initializing', '<*>', '<*>', '<*>', 'and', '<*>')",1
E35,"('ftrace:', '<*>', '<*>', 'entries', '<*>', '<*>', '<*>')",1
E36,"('<*>', '<*>', '<*>', 'from', '<*>', '<*>', '<*>')",2
E37,"('Console:', '<*>', '<*>', 'colour', '<*>', '<*>', '<*>')",1
E38,"('<*>', '<*>', '<*>', 'Connection', '<*>', '<*>', '<*>')",1
E39,"('<info>', '<*>', '<*>', 'auto-activating', '<*>', '<*>', '<*>')",1
E40,"('[RsInstallationService.MAIN]', '<*>', '<*>', '-', '<*>', '<*>', '<*>')",4
E41,"('Creating', '<*>', '<*>', 'with', '<*>', '<*>', '<*>')",1
E42,"('cmseq', '<*>', '<*>', 'imports', '<*>', '<*>', '<*>')",1
E43,"('TSS:', '<*>', '<*>', 'set', '<*>', '<*>', '<*>')",2
E44,"('NR_IRQS:', '<*>', 'nr_irqs:', '<*>', 'preallocated', 'irqs:', '<*>')",1
E45,"('ACPI:', '[Firmware', 'Bug]:', '<*>', '_OSI(Linux)', 'query', '<*>')",1
E46,"('software', 'IO', 'TLB:', '<*>', '[mem', '<*>', '<*>')",1
E47,"('CONFIG_CHANGE', 'op=set', '<*>', '<*>', '<*>', '<*>', '<*>')",1
E48,"('mrt.base.service:', 'Executable', '/usr/local/LoggingService/bin/stopcurrentlogger.sh', '<*>', 'skipping:', 'Permission', '<*>')",1
E49,"('OS', ':', 'unixHome', '<*>', 'Directory', ':', '<*>')",1
E50,"('<*>', 'Offload', 'RCU', '<*>', '<*>', 'CPUs:', '(none).')",1
E51,"('<*>', 'Switch', '<*>', '<*>', '<*>', 'mode', 'setup')",1
E52,"('<*>', 'Connection', 'hash', '<*>', '<*>', '<*>', 'memory=32Kbytes)')",1
E53,"('<*>', 'protecting', 'the', '<*>', '<*>', 'data:', '<*>')",1
E54,"('<*>', 'slice', 'Virtual', '<*>', '<*>', 'Container', 'Slice.')",1
E55,"('<*>', 'microsemi', '<*>', '<*>', '<*>', 'revision', '<*>')",1
E56,"('<*>', 'on', 'Avahi', '<*>', '<*>', 'Activation', 'Socket.')",1
E57,"('<*>', 'Node', 'Exporter', '<*>', '<*>', 'System', 'Monitoring.')",1
E58,"('<*>', 'loading,', 'compiling', '<*>', '<*>', '<*>', 'rules')",1
E59,"('<*>', 'line', '<*>', '<*>', '<*>', 'not', 'found')",1
E60,"('<*>', '<*>', 'dhcp-init:', '<*>', '<*>', 'client', ""'internal'"")",1
E61,"('<*>', '<*>', '<*>', '<*>', '<*>', 'containerd', 'service""')",1
E62,"('<*>', '<*>', 'X', '<*>', '<*>', 'shut', 'down')",1
E63,"('<*>', 'INFO', 'RohdeSchwarz.InstallationServiceApp.Program', '<*>', '<*>', 'directory:', ""'/opt/rohde-schwarz/installation-service'"")",1
E64,"('<*>', 'address', 'record', '<*>', '<*>', 'on', 'docker0.')",1
E65,"('<*>', '|', 'PYTHONPATH=/opt/rohde-schwarz/cmsequencer/exec_envs/venvs/default/Scripts:', '<*>', '<*>', '/opt/rohde-schwarz/cmsequencer/cmxblocks:', '')",1
E66,"('<*>', 'R&S', 'SWPL', '<*>', '<*>', 'PORT', '<*>')",1
E67,"('<*>', 'closed', '(or', '<*>', '<*>', 'unexpected', 'data).')",1
E68,"('LVT', 'offset', '<*>', 'assigned', '<*>', 'vector', '<*>')",2
E69,"('ATTENTION:', 'cmx_mb_bh7', '<*>', 'DISABLED', '<*>', 'kd', 'logging')",1
E70,"('we', 'get', '<*>', 'Major', '<*>', 'Minor', '<*>')",2
E71,"('ATTENTION:', 'cmx_au', '<*>', 'DISABLED', '<*>', 'kd', 'logging')",1
E72,"('The', 'XKEYBOARD', '<*>', 'compiler', '<*>', 'reports:', '')",2
E73,"('Started', 'Virtual', '<*>', 'and', '<*>', 'Registration', 'Service.')",1
E74,"('smp:', '<*>', 'up', '<*>', '<*>', '<*>', 'CPUs')",1
E75,"('RPC:', '<*>', 'tcp', '<*>', '<*>', '<*>', 'module.')",1
E76,"('igbvf:', '<*>', 'Gigabit', '<*>', '<*>', '<*>', 'Driver')",1
E77,"('Watching', '<*>', 'buttons', '<*>', '<*>', '<*>', 'Button)')",2
E78,"('libGL', '<*>', 'failed', '<*>', '<*>', '<*>', 'radeonsi')",2
E79,"('cmseq', '<*>', 'CMXblocks', '<*>', '<*>', '<*>', '[]')",1
E80,"('avahi', '<*>', 'publish', '<*>', '<*>', '<*>', '<*>')",1
E81,"('avahi', '<*>', 'browse', '<*>', '<*>', '<*>', '<*>')",1
E82,"('t', '<*>', 'No', '<*>', '<*>', '<*>', 'directory')",1
E83,"('Started', '<*>', 'Core', '<*>', '<*>', '<*>', '<*>')",2
E84,"('object', '<*>', 'No', '<*>', '<*>', '<*>', 'directory')",1
E85,"('audit:', '<*>', '<*>', '<*>', 'state=initialized', '<*>', '<*>')",1
E86,"('<*>', 'host', 'bridge', '<*>', '<*>', '<*>', '<*>')",1
E87,"('<*>', 'microsemi', '<*>', '<*>', '<*>', '<*>', '<*>')",1
E88,"('<*>', '<*>', 'Docker', '<*>', '<*>', '<*>', '<*>')",1
E89,"('<*>', 'Device', 'API', '<*>', '<*>', '<*>', '<*>')",1
E90,"('<*>', 'interface', '(HTTP/REST)', '<*>', '<*>', '<*>', '<*>')",1
E91,"('<*>', 'INFO', 'RohdeSchwarz.InstallationServiceContracts.EnvironmentHelper', '<*>', '<*>', '<*>', '<*>')",1
E92,"('<*>', 'INFO', 'RohdeSchwarz.AptAbstractionLib.LocalDevice', '<*>', '<*>', '<*>', '<*>')",4
E93,"('<*>', ']', 'log_dir', '<*>', '<*>', '<*>', '<*>')",1
E94,"('<*>', ']', 'server_mode', '<*>', '<*>', '<*>', '<*>')",1
E95,"('<*>', ']', 'connection', '<*>', '<*>', '<*>', '<*>')",1
E96,"('<*>', ']', 'Configuration', '<*>', '<*>', '<*>', '<*>')",1
