EventId,EventTemplate,Occurrences
E0,"('Linux', 'version', '<*>', '(oe-user@oe-host)', '<*>', '(GCC)', '<*>', 'GNU', 'ld', '(GNU', 'Binutils)', '<*>', '<*>', 'SMP', 'PREEMPT', 'Sun', 'May', '<*>', '<*>', '<*>', '<*>', 'UTC', '<*>')",1
E1,"('Command', 'line:', 'BOOT_IMAGE=/boot/vmlinuz', 'root=/dev/sda2', '<*>', 'd', 'ro')",1
E2,"('x86/fpu:', 'Supporting', 'XSAVE', 'feature', '<*>', '<*>', ""registers'"")",2
E3,"('x86/fpu:', 'Supporting', 'XSAVE', 'feature', '<*>', '<*>', 'floating', 'point', ""registers'"")",1
E4,"('x86/fpu:', '<*>', '<*>', '<*>', '<*>')",1
E5,"('signal:', 'max', 'sigframe', 'size:', '<*>')",1
E6,"('BIOS-provided', 'physical', 'RAM', 'map:', '')",1
E7,"('<*>', '[mem', '<*>', 'ACPI', 'NVS')",2
E8,"('x86/fpu:', 'Enabled', 'xstate', 'features', '<*>', 'context', 'size', 'is', '<*>', 'bytes,', 'using', ""'compacted'"", 'format.')",1
E9,"('<*>', '[mem', '<*>', '<*>')",9
